"year","variable","ensemble","model","experiment","value"
1850,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.592644244432449
1851,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.750255544980367
1852,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.309087912241618
1853,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.700794100761414
1854,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.881771107514699
1855,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.422506372133891
1856,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.249696413675944
1857,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.54598613580068
1858,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.580866972605387
1859,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.437045772870382
1860,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.800824920336405
1861,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.34116254250209
1862,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.904878298441569
1863,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.0451291799545288
1864,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.729728142420451
1865,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.368552734454473
1866,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.878325700759888
1867,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.731004476547241
1868,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.594680110613505
1869,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.440938095251719
1870,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.69605420033137
1871,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.650782326857249
1872,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.834022641181946
1873,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.715166330337524
1874,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.548250615596771
1875,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.657718380292257
1876,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.111735910177231
1877,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.969247321287791
1878,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.621296793222427
1879,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.754463404417038
1880,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.682035366694132
1881,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.03160355488459
1882,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.729244669278463
1883,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-1.01904722054799
1884,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-2.01174384355545
1885,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.0625111361344655
1886,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.64501748730739
1887,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.716520508130391
1888,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.10246862967809
1889,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.805034041404724
1890,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-1.20133191347122
1891,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.285738706588745
1892,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.20455914735794
1893,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.48132961988449
1894,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.1818235317866
1895,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.27786551912626
1896,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.781822244326274
1897,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.05111881097158
1898,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.99567570288976
1899,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.544231792291005
1900,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.935918033123016
1901,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.08765140175819
1902,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-0.1167840162913
1903,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",-1.97415769100189
1904,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.234644691149394
1905,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.1975019176801
1906,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.22187362611294
1907,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.38828638195992
1908,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.17571351925532
1909,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.18772199253241
1910,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.10144897301992
1911,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.955104569594065
1912,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.374729514122009
1913,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.356088958059748
1914,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.896491050720215
1915,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",1.46816231807073
1916,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.701681613922119
1917,"heatflux","r1i1p1","bcc-csm1-1","esmHistorical",0.720667739709218
